Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
Andalusia,Village,"1,184",1.175,3.04,"1,007.7/sq mi (389.1/km2)"
Macon,City,"1,177",1.451,3.76,811.2/sq mi (313.2/km2)
La Harpe,City,"1,175",1.364,3.53,861.4/sq mi (332.6/km2)
Toledo,Village,"1,161",0.888,2.3,"1,307.4/sq mi (504.8/km2)"
St. Anne,Village,"1,161",0.83,2.15,"1,398.8/sq mi (540.1/km2)"
Milford,Village,"1,158",0.671,1.74,"1,725.8/sq mi (666.3/km2)"
Sandoval,Village,"1,157",0.996,2.58,"1,161.6/sq mi (448.5/km2)"
Assumption,City,"1,155",0.99,2.56,"1,166.7/sq mi (450.5/km2)"
Minier,Village,"1,154",0.569,1.47,"2,028.1/sq mi (783.1/km2)"
Norris City,Village,"1,145",1.172,3.04,977.0/sq mi (377.2/km2)
Malta,Village,"1,143",0.612,1.59,"1,867.6/sq mi (721.1/km2)"
Divernon,Village,"1,139",0.763,1.98,"1,492.8/sq mi (576.4/km2)"
Louisville,Village,"1,136",0.828,2.14,"1,372.0/sq mi (529.7/km2)"
Oquawka,Village,"1,134",1.469,3.8,772.0/sq mi (298.1/km2)
Blue Mound,Village,"1,133",0.585,1.52,"1,936.8/sq mi (747.8/km2)"
Bull Valley,Village,"1,128",9.128,23.64,123.6/sq mi (47.7/km2)
Camp Point,Village,"1,121",1.134,2.94,988.5/sq mi (381.7/km2)
Albers,Village,"1,121",0.846,2.19,"1,325.1/sq mi (511.6/km2)"
Martinsville,City,"1,118",2.021,5.23,553.2/sq mi (213.6/km2)
Atwood,Village,"1,116",0.614,1.59,"1,817.6/sq mi (701.8/km2)"
Third Lake,Village,"1,111",0.586,1.52,"1,895.9/sq mi (732.0/km2)"
Warrensburg,Village,"1,110",0.728,1.89,"1,524.7/sq mi (588.7/km2)"
Kingston,Village,"1,108",0.984,2.55,"1,126.0/sq mi (434.8/km2)"
Colchester,City,"1,108",1.15,2.98,963.5/sq mi (372.0/km2)
Big Rock,Village,"1,104",4.318,11.18,255.7/sq mi (98.7/km2)
Central City,Village,"1,098",0.565,1.46,"1,943.4/sq mi (750.3/km2)"
Griggsville,City,"1,097",1.106,2.86,991.9/sq mi (383.0/km2)
Worden,Village,"1,096",0.713,1.85,"1,537.2/sq mi (593.5/km2)"
Danvers,Village,"1,089",0.803,2.08,"1,356.2/sq mi (523.6/km2)"
Edinburg,Village,"1,085",0.625,1.62,"1,736.0/sq mi (670.3/km2)"
"Windsor, Shelby County, Illinois",City,"1,079",0.63,1.63,"1,712.7/sq mi (661.3/km2)"
Stillman Valley,Village,"1,075",0.57,1.48,"1,886.0/sq mi (728.2/km2)"
Cobden,Village,"1,074",1.219,3.16,881.1/sq mi (340.2/km2)
Homer,Village,"1,073",0.98,2.54,"1,094.9/sq mi (422.7/km2)"
Lovington,Village,"1,069",0.544,1.41,"1,965.1/sq mi (758.7/km2)"
Royalton,Village,"1,068",1.115,2.89,957.8/sq mi (369.8/km2)
Goreville,Village,"1,068",2.686,6.96,397.6/sq mi (153.5/km2)
Greenfield,City,"1,059",1.714,4.44,617.9/sq mi (238.6/km2)
Shawneetown,City,"1,054",0.734,1.9,"1,436.0/sq mi (554.4/km2)"
Chebanse,Village,"1,044",1.19,3.08,877.3/sq mi (338.7/km2)
Forrest,Village,"1,041",0.648,1.68,"1,606.5/sq mi (620.3/km2)"
Thomasboro,Village,"1,034",0.995,2.58,"1,039.2/sq mi (401.2/km2)"
Washburn,Village,"1,032",0.72,1.86,"1,433.3/sq mi (553.4/km2)"
Lily Lake,Village,"1,032",2.717,7.04,379.8/sq mi (146.7/km2)
Milledgeville,Village,"1,026",0.69,1.79,"1,487.0/sq mi (574.1/km2)"
Payson,Village,"1,025",1.17,3.03,876.1/sq mi (338.3/km2)
Bannockburn,Village,"1,013",2.028,5.25,499.5/sq mi (192.9/km2)
Flanagan,Village,"1,010",0.574,1.49,"1,759.6/sq mi (679.4/km2)"
Odell,Village,"1,003",1.077,2.79,931.3/sq mi (359.6/km2)
Morrisonville,Village,997,1.035,2.68,963.3/sq mi (371.9/km2)
South Pekin,Village,996,0.515,1.33,"1,934.0/sq mi (746.7/km2)"
Colfax,Village,996,0.553,1.43,"1,801.1/sq mi (695.4/km2)"
Wayne City,Village,994,1.722,4.46,577.2/sq mi (222.9/km2)
McCullom Lake,Village,988,0.347,0.9,"2,847.3/sq mi (1,099.3/km2)"
Wamac,City,985,1.405,3.64,701.1/sq mi (270.7/km2)
Rosiclare,City,980,1.939,5.02,505.4/sq mi (195.1/km2)
Mazon,Village,979,0.602,1.56,"1,626.2/sq mi (627.9/km2)"
Wenona,City,974,0.736,1.91,"1,323.4/sq mi (511.0/km2)"
Energy,Village,974,1.194,3.09,815.7/sq mi (315.0/km2)
Newark,Village,973,1.124,2.91,865.7/sq mi (334.2/km2)
Ashton,Village,967,0.67,1.74,"1,443.3/sq mi (557.3/km2)"
Sheldon,Village,965,0.753,1.95,"1,281.5/sq mi (494.8/km2)"
Atkinson,Town,965,1.921,4.98,502.3/sq mi (194.0/km2)
Rapids City,Village,964,1.626,4.21,592.9/sq mi (228.9/km2)
Leland,Village,951,0.534,1.38,"1,780.9/sq mi (687.6/km2)"
Nauvoo,City,950,3.386,8.77,280.6/sq mi (108.3/km2)
Raymond,Village,949,1.258,3.26,754.4/sq mi (291.3/km2)
Goodfield,Village,936,1.622,4.2,577.1/sq mi (222.8/km2)
Odin,Village,935,1.003,2.6,932.2/sq mi (359.9/km2)
Hamel,Village,929,1.19,3.08,780.7/sq mi (301.4/km2)
Astoria,Town,929,0.586,1.52,"1,585.3/sq mi (612.1/km2)"
Mansfield,Village,928,0.508,1.32,"1,826.8/sq mi (705.3/km2)"
Pleasant Hill,Village,924,0.765,1.98,"1,207.8/sq mi (466.4/km2)"
Beckemeyer,Village,923,0.613,1.59,"1,505.7/sq mi (581.4/km2)"
Argenta,Village,913,0.653,1.69,"1,398.2/sq mi (539.8/km2)"
Marine,Village,912,0.746,1.93,"1,222.5/sq mi (472.0/km2)"
Ramsey,Village,911,1.111,2.88,820.0/sq mi (316.6/km2)
Gifford,Village,911,0.444,1.15,"2,051.8/sq mi (792.2/km2)"
Timberlane,Village,906,1.746,4.52,518.9/sq mi (200.3/km2)
Percy,Village,906,0.979,2.54,925.4/sq mi (357.3/km2)
Franklin Grove,Village,896,0.467,1.21,"1,918.6/sq mi (740.8/km2)"
Roseville,Village,892,0.739,1.91,"1,207.0/sq mi (466.0/km2)"
Oreana,Village,891,0.468,1.21,"1,903.8/sq mi (735.1/km2)"
Dieterich,Village,890,1.366,3.54,651.5/sq mi (251.6/km2)
Wyanet,Village,886,0.946,2.45,936.6/sq mi (361.6/km2)
Annawan,Town,884,2.135,5.53,414.1/sq mi (159.9/km2)
Mendon,Village,872,0.857,2.22,"1,017.5/sq mi (392.9/km2)"
Viola,Village,869,0.838,2.17,"1,037.0/sq mi (400.4/km2)"
Glasford,Village,866,0.908,2.35,953.7/sq mi (368.2/km2)
Albany,Village,864,1.071,2.77,806.7/sq mi (311.5/km2)
Shabbona,Village,863,1.283,3.32,672.6/sq mi (259.7/km2)
Hanover,Village,863,1.122,2.91,769.2/sq mi (297.0/km2)
Ridgway,Village,851,0.88,2.28,967.0/sq mi (373.4/km2)
Clay City,Village,847,1.782,4.62,475.3/sq mi (183.5/km2)
Illiopolis,Village,846,0.677,1.75,"1,249.6/sq mi (482.5/km2)"
Ringwood,Village,844,3.864,10.01,218.4/sq mi (84.3/km2)
Essex,Village,841,2.327,6.03,361.4/sq mi (139.5/km2)
Elkville,Village,838,0.767,1.99,"1,092.6/sq mi (421.8/km2)"
Stonington,Village,837,0.457,1.18,"1,831.5/sq mi (707.1/km2)"
Coulterville,Village,834,0.569,1.47,"1,465.7/sq mi (565.9/km2)"
Stronghurst,Village,833,0.873,2.26,954.2/sq mi (368.4/km2)
Paw Paw,Village,830,0.572,1.48,"1,451.0/sq mi (560.3/km2)"
Hopedale,Village,830,0.882,2.28,941.0/sq mi (363.3/km2)
Galatia,Village,827,1.952,5.06,423.7/sq mi (163.6/km2)
Meredosia,Village,826,0.864,2.24,956.0/sq mi (369.1/km2)
Sheffield,Village,821,1.169,3.03,702.3/sq mi (271.2/km2)
Cissna Park,Village,817,0.725,1.88,"1,126.9/sq mi (435.1/km2)"
Loami,Village,812,1.012,2.62,802.4/sq mi (309.8/km2)
Pleasant Plains,Village,808,1.335,3.46,605.2/sq mi (233.7/km2)
Dallas City,City,805,2.374,6.15,339.1/sq mi (130.9/km2)
Spaulding,Village,801,0.75,1.94,"1,068.0/sq mi (412.4/km2)"
Shannon,Village,801,0.482,1.25,"1,661.8/sq mi (641.6/km2)"
Hardin,Village,801,2.128,5.51,376.4/sq mi (145.3/km2)
New Milford,Village,794,2.543,6.59,312.2/sq mi (120.6/km2)
Enfield,Village,794,1.011,2.62,785.4/sq mi (303.2/km2)
Alexis,Village,793,0.475,1.23,"1,669.5/sq mi (644.6/km2)"
Forest View,Village,792,1.168,3.03,678.1/sq mi (261.8/km2)
Pearl City,Village,790,0.641,1.66,"1,232.4/sq mi (475.9/km2)"
Ridge Farm,Village,787,3.056,7.92,257.5/sq mi (99.4/km2)
West Salem,Village,786,1.56,4.04,503.8/sq mi (194.5/km2)
Witt,City,785,1.237,3.2,634.6/sq mi (245.0/km2)
Newman,City,778,0.613,1.59,"1,269.2/sq mi (490.0/km2)"
Brimfield,Village,778,0.821,2.13,947.6/sq mi (365.9/km2)
Hennepin,Village,769,5.307,13.75,144.9/sq mi (55.9/km2)
Orangeville,Village,766,0.676,1.75,"1,133.1/sq mi (437.5/km2)"
Hurst,City,764,0.887,2.3,861.3/sq mi (332.6/km2)
Livingston,Village,763,1.04,2.69,733.7/sq mi (283.3/km2)
East Galesburg,Village,763,1.365,3.54,559.0/sq mi (215.8/km2)
Woodhull,Village,754,0.882,2.28,854.9/sq mi (330.1/km2)
Tilden,Village,750,0.975,2.53,769.2/sq mi (297.0/km2)
Ashkum,Village,750,0.835,2.16,898.2/sq mi (346.8/km2)
Tonica,Village,749,1.363,3.53,549.5/sq mi (212.2/km2)
Piper City,Village,745,0.555,1.44,"1,342.3/sq mi (518.3/km2)"
Greenview,Village,745,0.859,2.22,867.3/sq mi (334.9/km2)
Wataga,Village,744,0.829,2.15,897.5/sq mi (346.5/km2)
McLean,Village,743,1.177,3.05,631.3/sq mi (243.7/km2)
Tiskilwa,Village,740,0.517,1.34,"1,431.3/sq mi (552.6/km2)"
Oakland,City,739,0.783,2.03,943.8/sq mi (364.4/km2)
Kinmundy,City,733,1.198,3.1,611.9/sq mi (236.2/km2)
Ogden,Village,729,0.588,1.52,"1,239.8/sq mi (478.7/km2)"
Brookport,City,725,0.653,1.69,"1,110.3/sq mi (428.7/km2)"
Taylor Springs,Village,724,1.05,2.72,689.5/sq mi (266.2/km2)
Braceville,Village,724,3.111,8.06,232.7/sq mi (89.9/km2)
Stewardson,Village,721,0.61,1.58,"1,182.0/sq mi (456.4/km2)"
South Wilmington,Village,710,0.492,1.27,"1,443.1/sq mi (557.2/km2)"
Matherville,Village,707,0.391,1.01,"1,808.2/sq mi (698.1/km2)"
Avon,Village,704,0.444,1.15,"1,585.6/sq mi (612.2/km2)"
Pocahontas,Village,697,0.783,2.03,890.2/sq mi (343.7/km2)
Oneida,City,696,0.763,1.98,912.2/sq mi (352.2/km2)
Elizabeth,Village,694,0.9,2.33,771.1/sq mi (297.7/km2)
Sherrard,Village,692,0.928,2.4,745.7/sq mi (287.9/km2)
Brownstown,Village,690,0.76,1.97,907.9/sq mi (350.5/km2)
Tampico,Village,689,0.394,1.02,"1,748.7/sq mi (675.2/km2)"
Potomac,Village,689,0.488,1.26,"1,411.9/sq mi (545.1/km2)"
Farmersville,Village,689,0.703,1.82,980.1/sq mi (378.4/km2)
La Moille,Village,679,1.156,2.99,587.4/sq mi (226.8/km2)
Kirkwood,Village,678,0.939,2.43,722.0/sq mi (278.8/km2)
Bradford,Village,676,0.398,1.03,"1,698.5/sq mi (655.8/km2)"
Alpha,Village,675,0.309,0.8,"2,184.5/sq mi (843.4/km2)"
Cordova,Village,671,0.574,1.49,"1,169.0/sq mi (451.3/km2)"
Kansas,Village,670,1.022,2.65,655.6/sq mi (253.1/km2)
Windsor,Village,668,0.438,1.13,"1,525.1/sq mi (588.8/km2)"
Watson,Village,668,1.092,2.83,611.7/sq mi (236.2/km2)
Deer Creek,Village,667,0.535,1.39,"1,246.7/sq mi (481.4/km2)"
Findlay,Village,664,0.924,2.39,718.6/sq mi (277.5/km2)
Aroma Park,Village,664,1.882,4.87,352.8/sq mi (136.2/km2)
Dalzell,Village,663,0.82,2.12,808.5/sq mi (312.2/km2)
Cedarville,Village,663,0.459,1.19,"1,444.4/sq mi (557.7/km2)"
Mechanicsburg,Village,662,1.036,2.68,639.0/sq mi (246.7/km2)
Mounds,City,661,1.207,3.13,547.6/sq mi (211.4/km2)
Dongola,Village,661,1.088,2.82,607.5/sq mi (234.6/km2)
West City,Village,656,1.608,4.16,408.0/sq mi (157.5/km2)
Saybrook,Village,654,0.802,2.08,815.5/sq mi (314.9/km2)
Brooklyn,Village,649,0.811,2.1,800.2/sq mi (309.0/km2)
Golden,Village,648,0.642,1.66,"1,009.3/sq mi (389.7/km2)"
Coffeen,City,647,1.161,3.01,557.3/sq mi (215.2/km2)
Yates City,Village,642,0.493,1.28,"1,302.2/sq mi (502.8/km2)"
Clayton,Village,639,0.884,2.29,722.9/sq mi (279.1/km2)
Ashmore,Village,637,0.805,2.08,791.3/sq mi (305.5/km2)
Bartelso,Village,635,0.431,1.12,"1,473.3/sq mi (568.9/km2)"
Cisne,Village,634,0.63,1.63,"1,006.3/sq mi (388.6/km2)"
Noble,Village,633,1.017,2.63,622.4/sq mi (240.3/km2)
Thayer,Village,632,0.61,1.58,"1,036.1/sq mi (400.0/km2)"
Green Valley,Village,630,0.301,0.78,"2,093.0/sq mi (808.1/km2)"
Golconda,City,630,0.51,1.32,"1,235.3/sq mi (476.9/km2)"
Bluford,Village,630,1.561,4.04,403.6/sq mi (155.8/km2)
St. Libory,Village,628,0.972,2.52,646.1/sq mi (249.5/km2)
Creston,Village,627,1.146,2.97,547.1/sq mi (211.2/km2)
Grafton,City,626,3.712,9.61,168.6/sq mi (65.1/km2)
Crossville,Village,623,0.64,1.66,973.4/sq mi (375.8/km2)
Alhambra,Village,622,0.756,1.96,822.8/sq mi (317.7/km2)
Holiday Hills,Village,618,0.934,2.42,661.7/sq mi (255.5/km2)
Bluffs,Village,618,0.893,2.31,692.0/sq mi (267.2/km2)
Woodlawn,Village,617,0.852,2.21,724.2/sq mi (279.6/km2)
Millington,Village,617,0.708,1.83,871.5/sq mi (336.5/km2)
New Boston,City,613,0.941,2.44,651.4/sq mi (251.5/km2)
Niantic,Village,612,1.039,2.69,589.0/sq mi (227.4/km2)
Fairmount,Village,612,0.317,0.82,"1,930.6/sq mi (745.4/km2)"
Franklin,Village,610,0.829,2.15,735.8/sq mi (284.1/km2)
Ursa,Village,609,0.69,1.79,882.6/sq mi (340.8/km2)
Palmyra,Village,605,0.999,2.59,605.6/sq mi (233.8/km2)
Bedford Park,Village,602,5.934,15.37,101.4/sq mi (39.2/km2)
Stanford,Village,600,0.662,1.71,906.3/sq mi (349.9/km2)
Hopkins Park,Village,597,4.137,10.71,144.3/sq mi (55.7/km2)
Danforth,Village,594,0.478,1.24,"1,242.7/sq mi (479.8/km2)"
Davis,Village,589,0.405,1.05,"1,454.3/sq mi (561.5/km2)"
Bismarck,Village,582,0.743,1.92,783.3/sq mi (302.4/km2)
Irvington,Village,581,1.01,2.62,575.2/sq mi (222.1/km2)
Willisville,Village,579,0.389,1.01,"1,488.4/sq mi (574.7/km2)"
Williamsfield,Village,575,1.231,3.19,467.1/sq mi (180.3/km2)
Vermont,Village,570,1.258,3.26,453.1/sq mi (174.9/km2)
Blandinsville,Village,569,0.875,2.27,650.3/sq mi (251.1/km2)
St. Francisville,City,568,0.745,1.93,762.4/sq mi (294.4/km2)
Murrayville,Village,567,0.496,1.28,"1,143.1/sq mi (441.4/km2)"
Godley,Village,566,1.083,2.8,522.6/sq mi (201.8/km2)
Pittsburg,Village,565,2.065,5.35,273.6/sq mi (105.6/km2)
Damiansville,Village,564,0.822,2.13,686.1/sq mi (264.9/km2)
Schram City,Village,563,0.674,1.75,835.3/sq mi (322.5/km2)
Andover,Village,555,0.991,2.57,560.0/sq mi (216.2/km2)
Valier,Village,554,1.124,2.91,492.9/sq mi (190.3/km2)
Ava,City,553,1.057,2.74,523.2/sq mi (202.0/km2)
Augusta,Village,553,0.691,1.79,800.3/sq mi (309.0/km2)
Crescent City,Village,552,0.456,1.18,"1,210.5/sq mi (467.4/km2)"
Union,Village,551,0.836,2.17,659.1/sq mi (254.5/km2)
Pesotum,Village,550,0.569,1.47,966.6/sq mi (373.2/km2)
Keithsburg,City,550,2.558,6.63,215.0/sq mi (83.0/km2)
Carlock,Village,548,0.395,1.02,"1,387.3/sq mi (535.7/km2)"
Makanda,Village,547,5.281,13.68,103.6/sq mi (40.0/km2)
Evansville,Village,547,0.788,2.04,694.2/sq mi (268.0/km2)
Tamaroa,Village,544,0.958,2.48,567.8/sq mi (219.2/km2)
Liberty,Village,543,0.391,1.01,"1,388.7/sq mi (536.2/km2)"
Farina,Village,540,1.457,3.77,370.6/sq mi (143.1/km2)
Equality,Village,539,0.877,2.27,614.6/sq mi (237.3/km2)
Lyndon,Village,537,0.757,1.96,709.4/sq mi (273.9/km2)
Wilsonville,Village,536,0.956,2.48,560.7/sq mi (216.5/km2)
Westfield,Village,536,0.978,2.53,548.1/sq mi (211.6/km2)
Indian Creek,Village,536,0.267,0.69,"2,007.5/sq mi (775.1/km2)"
Burlington,Village,535,6.855,17.75,78.0/sq mi (30.1/km2)
Mettawa,Village,533,5.449,14.11,97.8/sq mi (37.8/km2)
Strasburg,Village,531,0.541,1.4,981.5/sq mi (379.0/km2)
Junction City,Village,527,0.684,1.77,770.5/sq mi (297.5/km2)
Chandlerville,Village,527,0.794,2.06,663.7/sq mi (256.3/km2)
Mound City,City,526,0.675,1.75,779.3/sq mi (300.9/km2)
Patoka,Village,525,1.115,2.89,470.9/sq mi (181.8/km2)
St. David,Village,522,0.299,0.77,"1,745.8/sq mi (674.1/km2)"
Mulberry Grove,Village,520,1.003,2.6,518.4/sq mi (200.2/km2)
Hoyleton,Village,520,0.76,1.97,684.2/sq mi (264.2/km2)
Cullom,Village,520,0.335,0.87,"1,552.2/sq mi (599.3/km2)"
Mark,Village,519,1.065,2.76,487.3/sq mi (188.2/km2)
Elsah,Village,519,1.092,2.83,475.3/sq mi (183.5/km2)
Dawson,Village,519,0.792,2.05,655.3/sq mi (253.0/km2)
Trout Valley,Village,515,0.428,1.11,"1,203.3/sq mi (464.6/km2)"
Grand Ridge,Village,515,0.462,1.2,"1,114.7/sq mi (430.4/km2)"
Cowden,Village,515,0.402,1.04,"1,281.1/sq mi (494.6/km2)"
Golf,Village,514,0.448,1.16,"1,147.3/sq mi (443.0/km2)"
Wapella,Village,513,0.551,1.43,931.0/sq mi (359.5/km2)
Iuka,Village,512,0.733,1.9,698.5/sq mi (269.7/km2)
Shipman,Town,511,1.32,3.42,387.1/sq mi (149.5/km2)
North City,Village,509,2.171,5.62,234.5/sq mi (90.5/km2)
Hammond,Village,508,0.757,1.96,671.1/sq mi (259.1/km2)
Creal Springs,City,505,1.027,2.66,491.7/sq mi (189.9/km2)
Dahlgren,Village,504,1.017,2.63,495.6/sq mi (191.3/km2)
Prairie du Rocher,Village,502,0.571,1.48,879.2/sq mi (339.4/km2)
Dakota,Village,500,0.249,0.64,"2,008.0/sq mi (775.3/km2)"
Woodson,Village,498,0.394,1.02,"1,264.0/sq mi (488.0/km2)"
Reynolds,Village,498,0.368,0.95,"1,353.3/sq mi (522.5/km2)"
Congerville,Village,497,0.963,2.49,516.1/sq mi (199.3/km2)
Rankin,Village,495,0.579,1.5,854.9/sq mi (330.1/km2)
Buckley,Village,495,0.316,0.82,"1,566.5/sq mi (604.8/km2)"
Sidell,Village,489,0.927,2.4,527.5/sq mi (203.7/km2)
Fithian,Village,488,0.383,0.99,"1,274.2/sq mi (492.0/km2)"
Thompsonville,Village,486,2.031,5.26,239.3/sq mi (92.4/km2)
Tower Hill,Village,485,1.005,2.6,482.6/sq mi (186.3/km2)
Buda,Village,482,1.014,2.63,475.3/sq mi (183.5/km2)
Chadwick,Village,481,0.311,0.81,"1,546.6/sq mi (597.2/km2)"
San Jose,Village,479,0.414,1.07,"1,157.0/sq mi (446.7/km2)"
Grand Tower,City,479,1.248,3.23,383.8/sq mi (148.2/km2)
Hutsonville,Village,478,0.622,1.61,768.5/sq mi (296.7/km2)
Oak Grove,Village,476,0.658,1.7,723.4/sq mi (279.3/km2)
Chapin,Village,475,0.998,2.58,476.0/sq mi (183.8/km2)
Spring Bay,Village,474,0.683,1.77,694.0/sq mi (268.0/km2)
Dix,Village,469,2.074,5.37,226.1/sq mi (87.3/km2)
Lenzburg,Village,468,1.155,2.99,405.2/sq mi (156.4/km2)
Emden,Village,467,0.235,0.61,"1,987.2/sq mi (767.3/km2)"
Ullin,Village,466,2.811,7.28,165.8/sq mi (64.0/km2)
Ohio,Village,465,0.753,1.95,617.5/sq mi (238.4/km2)
Tovey,Village,464,0.223,0.58,"2,080.7/sq mi (803.4/km2)"
Bowen,Village,464,0.428,1.11,"1,084.1/sq mi (418.6/km2)"
Altona,Village,463,0.938,2.43,493.6/sq mi (190.6/km2)
Ashley,City,462,1.128,2.92,409.6/sq mi (158.1/km2)
St. Rose[c],Village,459,0.591,1.53,776.6/sq mi (299.9/km2)
Pierron,Village,459,0.734,1.9,625.3/sq mi (241.4/km2)
Allendale,Village,458,0.307,0.8,"1,491.9/sq mi (576.0/km2)"
Sun River Terrace,Village,455,0.573,1.48,794.1/sq mi (306.6/km2)
Dalton City,Village,454,0.534,1.38,850.2/sq mi (328.3/km2)
Mount Auburn,Village,452,0.997,2.58,453.4/sq mi (175.0/km2)
Kaneville,Village,452,0.285,0.74,"1,586.0/sq mi (612.3/km2)"
Camargo,Village,452,1.259,3.26,359.0/sq mi (138.6/km2)
Elkhart,Village,450,1.942,5.03,231.7/sq mi (89.5/km2)
Ipava,Village,447,0.268,0.69,"1,667.9/sq mi (644.0/km2)"
De Land,Village,447,0.424,1.1,"1,054.2/sq mi (407.0/km2)"
Buffalo,Village,447,0.345,0.89,"1,295.7/sq mi (500.3/km2)"
Versailles,Village,446,0.933,2.42,478.0/sq mi (184.6/km2)
Cornell,Village,446,0.654,1.69,682.0/sq mi (263.3/km2)
Hoffman,Village,439,0.506,1.31,867.6/sq mi (335.0/km2)
Norwood,Village,437,0.307,0.8,"1,423.5/sq mi (549.6/km2)"
Scales Mound,Village,436,0.628,1.63,694.3/sq mi (268.1/km2)
Plymouth,Village,436,0.565,1.46,771.7/sq mi (297.9/km2)
Cherry,Village,435,0.514,1.33,846.3/sq mi (326.8/km2)
Tallula,Village,434,0.531,1.38,817.3/sq mi (315.6/km2)
German Valley,Village,433,0.478,1.24,905.9/sq mi (349.8/km2)
Leaf River,Village,432,0.869,2.25,497.1/sq mi (191.9/km2)
Towanda,Village,431,0.744,1.93,579.3/sq mi (223.7/km2)
Tamms,Village,430,2.332,6.04,184.4/sq mi (71.2/km2)
Karnak,Village,430,1.806,4.68,238.1/sq mi (91.9/km2)
Sorento,Village,429,0.798,2.07,537.6/sq mi (207.6/km2)
Hecker,Village,429,0.253,0.66,"1,695.7/sq mi (654.7/km2)"
Beecher City,Village,428,0.895,2.32,478.2/sq mi (184.6/km2)
Neponset,Village,427,1.016,2.63,420.3/sq mi (162.3/km2)
Fairview,Village,426,4.215,10.92,101.1/sq mi (39.0/km2)
Lostant,Village,423,1.122,2.91,377.0/sq mi (145.6/km2)
Hopewell,Village,421,1.135,2.94,370.9/sq mi (143.2/km2)
Hillsdale,Village,417,0.648,1.68,643.5/sq mi (248.5/km2)
Melvin,Village,416,0.346,0.9,"1,202.3/sq mi (464.2/km2)"
Naplate,Village,412,0.16,0.41,"2,575.0/sq mi (994.2/km2)"
Benson,Village,412,0.163,0.42,"2,527.6/sq mi (975.9/km2)"
Monroe Center,Village,411,1.212,3.14,339.1/sq mi (130.9/km2)
Buckner,Village,409,0.872,2.26,469.0/sq mi (181.1/km2)
Waltonville,Village,408,1.24,3.21,329.0/sq mi (127.0/km2)
Prairie City,Village,407,1.008,2.61,403.8/sq mi (155.9/km2)
Saunemin,Village,406,0.231,0.6,"1,757.6/sq mi (678.6/km2)"
Keyesport,Village,406,0.72,1.86,563.9/sq mi (217.7/km2)
Lomax,Village,404,1.189,3.08,339.8/sq mi (131.2/km2)
Sadorus,Village,402,1.027,2.66,391.4/sq mi (151.1/km2)
New Haven,Village,399,1.244,3.22,320.7/sq mi (123.8/km2)
Industry,Village,399,0.46,1.19,867.4/sq mi (334.9/km2)
Edgewood,Village,398,1.013,2.62,392.9/sq mi (151.7/km2)
Hull,Village,392,1.825,4.73,214.8/sq mi (82.9/km2)
East Carondelet,Village,390,1.177,3.05,331.4/sq mi (127.9/km2)
